Period,tax revenue_import_duty,tax revenue_excise_duty,tax revenue_income_tax,tax revenue_vat_tax,tax revenue_other_tax income,total_tax_revenue,non-tax_revenue_revenue,total_revenue_revenue,total_programme_grants,project_grants_grants,project_total_grants,recurrent expenditure_domestic interest_grants,recurrent expenditure_foreign interest_grants,recurrent expenditure_wages & salaries_grants,recurrent expenditure_pensions_grants,recurrent expenditure_other_grants,recurrent expenditure_total_recurrent_expenditure,recurrent expenditure_county transfer_recurrent_expenditure,development_expenditure_recurrent_expenditure,development_total_expenditure_expenditure
2020-01,61780.12032,123635.8985,416731.4136,245673.5042,26717.98544,874538.922,186959.4839,1061498.406,0,13535.79422,13535.79422,171465.8846,76608.22743,268380.1815,53478.73526,371298.4156,941231.4444,160472.3271,335160.3168,1436864.088
2020-02,69754.35019,140036.1116,456389.8359,275438.7323,30446.91432,972065.9443,203769.6942,1175835.639,0,14050.31507,14050.31507,195971.5544,86770.91482,306720.2075,59773.6357,415694.5923,1064930.905,188941.3589,360573.3728,1614445.636
2020-03,76931.09663,159490.8323,519713.802,305657.4462,34452.10029,1096245.277,235945.5625,1332190.84,0,13576.69568,13576.69568,223268.616,94548.34935,331864.3311,74145.72218,457670.2784,1181497.297,214784.8183,471960.0487,1868242.164
2020-04,83099.56697,171019.3675,591244.3982,332238.9431,36953.79006,1214556.066,253832.266,1468388.332,0,13400.43504,13400.43504,255057,100598.7199,380117.0194,74502.08253,487019.8946,1297294.716,246871.3149,426550.3477,1970716.379
2020-05,89247.52209,182082.298,638961.5949,354433.2319,39534.86037,1304259.507,279172.8325,1583432.34,0,18155.61766,18155.61766,285611.0947,112453.3165,421740.2852,76250.58062,549377.5522,1445432.829,263090.408,470374.7649,2178898.002
2020-06,98022.23644,195269.8252,706936.3321,383713.1885,43565.98629,1427507.569,306123.5427,1733631.111,0,19819.74128,19819.74128,315361.9427,121840.0895,449926.9467,89605.47873,668487.321,1645221.779,325278.0575,594943.6658,2565443.502
2020-07,6683.232462,15053.82399,42988.55276,26185.46457,3515.218973,94426.29275,10828.11066,105254.4034,0,0,0,27700.76436,15028.66851,26361.1195,3967.472619,15657.36083,88715.38581,908.0041239,4583.721283,94207.11122
2020-08,14350.76039,30997.93639,80632.6628,53574.91752,7690.071624,187246.3487,24612.94217,211859.2909,0,1375.575148,1375.575148,56781.03113,30339.04173,75222.239,13578.93085,75706.24333,251627.486,28021.59476,54222.44987,333871.5307
2020-09,23167.28665,47353.82876,151247.837,83062.40895,11942.79862,316774.16,61903.48839,378677.6484,0,3915.299221,3915.299221,81168.50518,34133.51785,118569.5353,26189.09572,99429.97533,359490.6294,28838.87298,122057.2755,510386.7779
2020-10,32069.85956,64454.46191,198206.8304,114144.8216,16415.94712,425291.9206,80019.21323,505311.1338,0,4404.746682,4404.746682,115684.6646,38127.69255,165444.478,30374.89047,152909.7964,502541.5221,81896.04163,137306.8633,721744.427
2020-11,40658.45766,83485.40029,234072.8523,144756.7773,20541.6806,523515.1681,100668.3384,624183.5065,0,5799.92785,5799.92785,154618.9023,51705.88355,206805.5975,32159.61604,192503.2423,637793.2417,108035.7131,185611.922,931440.8768
2020-12,51799.20389,102779.3917,309238.5638,179072.5181,25803.32114,668692.9986,141859.028,810552.0266,0,8500.407278,8500.407278,186745.8586,61063.53013,238207.1174,53821.29762,283538.027,823375.8308,128690.8348,262777.5617,1214844.227
2021-01,59921.31284,123051.7661,350582.7256,215787.1023,29926.90408,779269.8108,157774.1917,937044.0025,0,11101.85014,11101.85014,218187.7371,62842.31718,289527.8365,49686.81493,315658.6136,935903.3194,164402.445,246798.4006,1347104.165
2021-02,69449.32909,144351.7415,398371.1005,253257.2194,34918.99839,900348.3889,179213.5777,1079561.967,0,13964.58559,13964.58559,255863.1946,70258.31622,330888.956,55414.76651,352309.1599,1064734.393,186868.355,275516.4321,1527119.18
2021-03,80135.26173,162057.0677,455286.6726,292229.1412,40778.58595,1030486.729,214799.7635,1245286.493,0,18350.89634,18350.89634,286105.5079,80182.53566,352074.8253,82672.02741,439828.8542,1240863.75,209870.6461,369948.0256,1820682.422
2021-04,89066.20585,180647.1203,542106.3526,330642.7677,45710.74979,1188173.196,235645.9178,1423819.114,0,26161.83694,26161.83694,318487.946,82974.49141,406696.0015,76360.38419,502621.4151,1387140.238,249046.1234,399474.9417,2035661.303
2021-05,97724.62576,197061.7648,597548.6811,368273.9914,49867.97939,1310477.042,247710.959,1558188.001,0,28733.72239,28733.72239,360115.3432,97363.63141,448773.6815,78672.78902,546862.3834,1531787.829,273527.4573,436793.4418,2242108.728
2021-06,108375.1652,216324.9168,694052.5228,410758.3969,55248.68423,1484759.686,253624.9366,1738384.623,0,36888.05519,36888.05519,388829.5636,106312.3184,493913.5811,112975.4098,664925.9733,1766956.846,390809.4589,548531.2469,2706297.552
2021-07,7647.32829,16566.55682,55001.24673,38101.06719,4371.647132,121687.8462,13323.51183,135011.358,0,0,0,38980.53485,11777.99604,40956.14978,4564.071131,41175.75058,137454.5024,967.4060576,6252.014114,144673.9226
2021-08,16837.17027,37027.67601,104859.2139,78375.25704,9775.766898,246875.0842,30038.43365,276913.5178,0,135.0029628,135.0029628,74051.20193,26862.78276,87685.37066,12902.10716,93776.59186,295278.0544,31462.42054,52459.21585,379199.6908
2021-09,27067.51672,58428.18876,195471.5785,120378.3869,15020.01048,416365.6814,89936.02544,506301.7068,0,6655.421636,6655.421636,101141.5105,30018.59318,126543.5637,27663.48365,168292.8678,453660.0187,61050,116952.0037,631662.0224
2021-10,35889.85872,78774.40097,253235.0548,159671.1481,20186.1624,547756.625,107899.8905,655656.5154,0,6984.289136,6984.289136,141843.9595,33760.37111,175370.7413,31984.55503,230670.506,613630.1329,92500,150064.776,856194.909
2021-11,46237.53285,100895.9322,310524.5477,203917.9369,25705.74048,687281.69,120927.0809,808208.7709,0,7378.860238,7378.860238,189410.3698,47825.06113,219213.4267,38148.61175,283129.3651,777726.8344,108457.802,192970.6268,1079155.263
2021-12,56781.13397,123675.6623,406316.5788,249386.6987,31712.07681,867872.1505,164291.1635,1032163.314,0,11984.7666,11984.7666,217281.8735,57296.14426,246980.6634,60724.97112,402923.7433,985207.3956,144983.3185,234688.5728,1364879.287
2022-01,66456.63351,145985.2979,464926.0071,296291.9457,36836.39208,1010496.276,183004.971,1193501.247,0,12624.27251,12624.27251,253317.5281,73052.59946,306898.7973,61494.06735,421186.6247,1115949.617,171835.2828,256755.1094,1544540.009
2022-02,74989.9287,165290.0421,505436.6081,337469.6712,41908.40826,1125094.658,196717.3718,1321812.03,0,14019.75887,14019.75887,295920.5006,89305.95352,350741.4826,65206.09788,473715.8396,1274889.874,193653.4394,300874.2901,1769417.604
2022-03,84954.05903,185817.8792,580628.2839,382306.7714,47916.15217,1281623.146,239310.5361,1520933.682,0,20027.50412,20027.50412,332229.5478,92541.75427,386233.9408,94012.75819,585027.7666,1490045.768,216319.6714,362747.0631,2069112.502
2022-04,93711.2905,206353.2888,679153.7742,422196.4542,52948.37013,1454363.178,264504.1223,1718867.3,0,20892.66836,20892.66836,371286.7188,96150.61524,438515.9275,93856.54062,646362.0321,1646171.834,261000.9359,410488.2686,2317661.039
2022-05,104731.1049,229594.491,770250.4346,471724.7352,59594.21015,1635894.976,279728.6082,1915623.584,0,22039.28143,22039.28143,427249.8845,111184.9488,482403.1499,103617.8669,708798.3177,1833254.168,286496.0241,440489.7452,2560239.937
2022-06,118280.1741,252094.3786,876707.216,523097.6374,67041.76118,1837221.167,362586.6017,2199807.769,0,31031.15341,31031.15341,456848.6082,120811.74,520032.7734,122431.5818,914861.7472,2134986.451,352414.3146,535782.3821,3023183.147
2022-07,9365.334944,17950.89775,57935.83793,39835.29627,5387.646758,130475.0136,15789.07269,146264.0863,0,0,0,33487.2305,16206.41504,41130.11125,5563.806813,33802.35106,130189.9147,22992.45258,5583.340243,158765.7075
2022-08,21219.61042,42393.45833,115454.4746,88487.57691,12397.85988,279952.9801,32304.40225,312257.3824,0,376.8447249,376.8447249,82396.52717,31756.91926,89525.87502,5563.806813,76936.25061,286179.3789,30243.2251,40448.94241,356871.5464
2022-09,33561.02678,62977.28002,218604.4671,131768.4742,17813.30456,464724.5526,104875.8973,569600.4499,0,622.8903806,622.8903806,114813.4902,36024.67481,130184.2717,27589.22445,264680.6502,573292.3114,70337.79826,115885.5102,759515.6199
2022-10,43683.33561,85052.80181,279437.0328,175620.2979,23525.90144,607319.3695,123945.5464,731264.916,0,2138.210248,2138.210248,159146.1509,39743.60406,179051.75,21559.44464,252735.3119,652236.2616,85368.59416,128367.0465,865971.9023
2022-11,54923.46158,108867.5761,342488.0206,222092.2796,29466.08413,757837.422,135954.573,893791.9949,0,3318.93287,3318.93287,218414.2941,55549.05879,223814.6876,32838.20407,292504.2455,823120.49,122100,148962.6805,1094183.171
2022-12,67095.73349,130339.8018,451757.2642,264181.4765,38403.28023,951777.5562,195256.3367,1147033.893,0,4292.312698,4292.312698,251561.439,67022.49385,264226.7942,60752.63012,477868.0822,1121431.439,141088.0061,206295.9355,1468815.381
2023-01,79246.74287,154122.9644,514715.2035,311658.623,44132.40715,1103875.941,206926.1936,1310802.134,2133.11057,5630.87328,7763.98385,287935.6499,91335.36093,313340.5626,50500.37656,472050.0139,1215161.964,161242.3687,234827.1703,1611231.503
2023-02,88166.63917,175630.2585,566788.631,355502.1023,49043.46466,1235131.096,228145.207,1463276.303,6982.31057,6322.259302,13304.56987,338355.9969,108645.7598,358103.5001,55615.11132,508799.2463,1369519.614,183150,261694.6591,1814364.273
2023-03,97119.42569,198646.1713,636937.9027,404072.0415,55394.8529,1392170.394,293872.7869,1686043.181,6982.31057,11208.82277,18191.13334,373596.7657,115718.1945,416861.3587,92341.19938,676913.9087,1675431.427,212750,321059.0934,2209240.52
2023-04,106002.3352,219675.6068,737558.8934,447955.6384,60699.03558,1571891.509,322711.8543,1894603.364,6982.31057,11979.74521,18962.05578,422347.8061,120124.4463,449626.9359,62578.16037,657448.163,1712125.512,275650,314303.1584,2302078.67
2023-05,117586.0229,241277.4234,816453.422,496627.1327,67003.9432,1738947.944,341318.1392,2080266.083,6982.31057,15186.48947,22168.80004,488242.0114,138391.2334,494589.6295,68431.41916,715077.8615,1904732.155,305250,324719.9022,2534702.057
2023-06,130122.5796,264508.6293,941575.7515,550439.7642,73782.51341,1960429.238,400080.4949,2360509.733,6982.31057,16101.16318,23083.47375,530284.4079,154223.355,547156.5389,110110.909,966974.5352,2308749.746,415773.863,493663.3284,3218186.937
2023-07,8312.247941,21560.60654,72150.01602,48111.15359,4861.421549,154995.4456,14538.90604,169534.3517,0,0,0,36902.92601,29589.11405,45471.79567,23793.74342,22783.32087,158540.9,32761.09237,8309.081247,199611.0736
2023-08,20343.3918,47324.43467,136068.0198,102757.3605,10976.76531,317469.9721,33833.86828,351303.8404,0,1538.764845,1538.764845,87113.92007,52451.93532,97418.37894,21421.68693,74620.0141,333025.9354,39268.02842,32540.37121,404834.335
2023-09,32433.59966,68569.70761,243953.7593,153026.5931,16103.01368,514086.6733,71963.40502,586050.0783,0,3415.422674,3415.422674,124913.2958,63093.38328,142295.4168,42377.49837,245838.6175,618518.2117,61111.62313,124566.6135,804196.4484
2023-10,44586.46969,92638.77624,316241.4717,209166.6422,21771.02374,684404.3835,142261.8147,826666.1982,0,4350.20524,4350.20524,177023.1076,70975.72659,194836.7579,39391.25293,232530.9036,714757.7486,78586.56263,96023.9442,889368.2554
2023-11,56151.62496,116093.9416,380444.4643,266111.3352,28115.69746,846917.0635,164607.9762,1011525.04,0,4879.552039,4879.552039,246990.3746,90549.47784,245630.8862,51926.64928,285716.7541,920814.142,107548.372,132409.7613,1160772.275
2023-12,68229.03194,139796.8763,491283.687,317941.6226,33107.6232,1050358.841,219828.3207,1270187.162,0,5455.108098,5455.108098,300117.6582,105024.7558,268232.4949,74214.00573,548859.8504,1296448.765,142467.7141,265916.0228,1704832.502
2024-01,80108.28223,163376.8884,559872.3485,374950.3062,37557.95144,1215865.777,285040.8178,1500906.594,0,5570.998109,5570.998109,339187.6897,142134.2111,343883.2407,60639.28546,519941.6198,1405786.047,174330.1247,235068.2313,1815184.403
2024-02,89611.69853,185189.4244,625976.9741,430688.1055,41964.98257,1373431.185,304661.542,1678092.727,39.84405,11396.56015,11436.4042,401680.9655,165496.4779,393009.418,72864.57658,597624.3296,1630675.768,206281.9916,312074.4158,2149032.175
2024-03,98435.57055,204169.7454,704070.8361,481094.7883,46601.00521,1534371.946,321280.3845,1855652.33,0,13905.22382,13905.22382,439420.2019,177676.0248,442135.5952,83968.3883,534714.9886,1796250.596,239072.9314,360073.9255,2395397.453
2024-04,111987.1435,224905.2686,820683.5401,535280.4674,52154.17138,1745010.591,371987.7587,2116998.35,39.84405,14601.68855,14641.5326,489562.4901,191990.373,491261.7725,102298.2873,757552.2402,2032665.163,272607.3674,404477.9659,2709750.496
2024-05,122031.0142,249348.879,911336.6881,588467.2769,56850.05484,1928033.913,462507.3008,2390541.214,86.19935495,16049.02647,16135.22583,571534.3977,209158.606,540387.9497,97304.99558,847195.786,2265581.735,303709.565,440722.5369,3010013.837
2024-06,133929.1314,276721.9344,1042756.142,645488.7946,61388.87706,2160284.879,542376.7822,2702661.661,86.19935495,21951.01143,22037.21079,622543.6542,218187.8663,575269.2625,143940.3954,1118495.327,2678436.506,380388.136,546385.0013,3605209.643
2024-07,11058.67258,19811.1352,75899.97564,48813.79006,3874.810434,159458.3839,33047.43423,192505.8181,0,0,0,52694.28342,25879.89678,20425.82969,0,42210.2446,141210.2545,30833.96928,10656.71167,182700.9354
2024-08,23962.40129,43792.9052,135150.1423,101155.7599,8583.221928,312644.4306,60814.92412,373459.3547,0,196.2612388,196.2612388,135037.9746,56002.91542,75652.85089,6685.243628,110809.7433,384188.7279,30833.96928,44274.37451,459297.0717
2024-09,34619.34249,68132.99171,258642.6204,151332.347,12605.58718,525332.8887,131059.7425,656392.6312,0,1352.686865,1352.686865,176833.8354,72269.347,150146.745,32762.18031,200169.0936,632181.2014,63595.06165,115440.768,811217.031
2024-10,45223.22722,93434.65649,337870.5969,202900.2562,16996.30449,696425.0412,195360.6388,891785.6801,0,1576.073156,1576.073156,227225.3156,81447.69934,200195.66,46424.72052,292661.5231,847954.9185,94429.03094,142114.6701,1084498.62
2024-11,57501.60897,115874.0466,413803.7986,248238.1844,21213.50507,856631.1436,231705.6058,1088336.749,0,3837.637302,3837.637302,315249.3757,98395.81779,250244.575,68045.7917,362001.2571,1093936.817,158024.0926,191154.5972,1443115.507
2024-12,71534.69485,141349.2749,530834.0085,304080.1709,25844.76825,1073642.917,258131.6002,1331774.518,0,7512.611289,7512.611289,421860.0714,101691.1608,300293.4901,84562.44696,463734.9038,1372142.073,191615.3443,232041.4821,1795798.899
2025-01,83201.92837,167079.314,605240.7307,365346.6035,30549.10639,1251417.683,313457.7532,1564875.436,0,7853.51245,7853.51245,444734.2765,140895.9142,350342.4051,22874.20509,611608.0837,1570454.885,207631.1993,290101.4085,2068187.492
2025-02,94850,192676,659033,421484,44866,1412908,357129,1770037,0,9635,9635,565829,156485,400391,110649,618684,1852038,240912,322003,2414953
2025-03,107748,214997,746193,471006,49324,1589268,409100,1998368,0,14751,14751,625029,171454,440254,117812,712683,2067232,255541,376927,2699700
2025-04,121665,241120,867379,526698,54576,1811438,443658,2255096,0,9858,9858,690098,181437,500489,140284,824808,2337117,299379,388135,3024631
2025-05,137507.0255,268558.0179,963134.5217,593393.8056,59527.90161,2022121.272,490260.216,2512381.488,0,12887.55887,12887.55887,732767.8373,195605.3285,550538.0651,155212.0256,942803.6842,2576926.941,372275.0572,466559.4652,3415761.463
2025-06,157107.0682,292468.0924,1093031.788,660728.7135,68051.49362,2271387.156,685484.1268,2956871.282,956.4737,33320.31451,33320.31451,784117.3695,211002.3711,627102.4378,174089.8129,1146997.369,2943309.36,447730.6641,576776.7785,3967816.803
2025-07,13544.58499,23180.83676,73297.39615,56825.56481,4587.612373,171435.9951,43235.7017,214671.6968,0,0,0,53504.58445,21599.06617,54773.77334,8901.982764,62430.90946,201210.3162,0,16364.25065,217574.5668
2025-08,25388.88079,48467.75007,135190.865,110796.9392,8741.549613,328585.9847,91674.38994,420260.3747,0,86.37000562,86.37000562,145283.085,49411.12038,109547.5467,10798.161,177065.1093,492105.0224,32931.125,53807.44325,578843.5907
2025-09,40471.17096,73875.02511,252614.5484,173371.3501,15807.02068,556139.1152,139852.3075,695991.4227,0,2949.755532,2949.755532,201010.0621,71989.53012,164321.32,37176.04281,265644.7167,740141.6718,66131.125,122056.0268,928328.8236
2025-10,53407.43488,100187.8745,331064.8945,232612.9607,21600.73132,738873.896,203090.5858,941964.4818,0,3927.473779,3927.473779,261441.6751,87462.41142,219095.0934,37870.71501,377863.8722,983733.7671,104041.6732,186797.5208,1274572.961
2025-11,68005.80191,127512.5853,401096.7713,289838.9683,28216.94991,914671.0766,236692.8777,1151363.954,0,4810.729017,4810.729017,355641.6795,101855.5014,273868.8667,44261.65001,443678.2874,1219305.985,139585.5482,232749.1333,1591640.667
2025-12,84731.06736,153646.9564,542354.653,350995.7316,35624.44864,1167352.857,333235.0144,1500587.871,0,5758.568876,5758.568876,414106.2811,104727.9325,328642.6401,65906.11213,638806.8738,1552189.84,179519.2584,292710.8686,2024419.967
2026-01,100433.869,181119.7328,614004.6081,414743.9097,43663.83415,1353965.954,403680.7923,1757646.746,0,11910.68996,11910.68996,479670.2029,126436.1262,383416.4134,76246.00591,709007.635,1774776.383,220253.7583,341409.8643,2336440.006
2026-02,117120.0897,205134.7102,684920.8939,472292.823,46787.61832,1526256.135,466942.9569,1993199.092,0,13303.88496,13303.88496,580887.1804,149270.6917,438190.1867,90709.27942,824197.8326,2083255.171,255528.7583,371526.1352,2710310.064
2026-03,130525.1294,231764.5599,779629.4509,533242.7713,51065.99047,1726227.902,503279.8839,2229507.786,0,14707.47612,14707.47612,636972.2542,169155.8007,492963.9601,119014.7646,931551.7501,2349658.53,298477.2883,461563.2156,3109699.034
